Index	Date	Time	Readings (%RH)	Readings (�C)	Type
455	9/27/2016	8:09:57 AM	64.2	21.3	
456	9/27/2016	9:09:57 AM	61.4	23.1	
457	9/27/2016	10:09:57 AM	56.8	24.8	
458	9/27/2016	11:09:57 AM	49.1	26.9	
459	9/27/2016	12:09:57 PM	41.1	29.6	
460	9/27/2016	1:09:57 PM	36.6	31.3	
461	9/27/2016	2:09:57 PM	27.5	32.7	
462	9/27/2016	3:09:57 PM	27.6	32.6	
463	9/27/2016	4:09:57 PM	27.1	33.4	
464	9/27/2016	5:09:57 PM	29.2	32.3	
465	9/27/2016	6:09:57 PM	34.4	31.2	
466	9/27/2016	7:09:57 PM	34.4	30.6	
467	9/27/2016	8:09:57 PM	35.5	29.8	
468	9/27/2016	9:09:57 PM	33.7	28.9	
469	9/27/2016	10:09:57 PM	34.9	28.0	
470	9/27/2016	11:09:57 PM	35.8	27.6	
471	9/28/2016	12:09:57 AM	35.6	26.9	
472	9/28/2016	1:09:57 AM	33.1	26.5	
473	9/28/2016	2:09:57 AM	33.7	26.1	
474	9/28/2016	3:09:57 AM	35.6	25.2	
475	9/28/2016	4:09:57 AM	36.7	24.8	
476	9/28/2016	5:09:57 AM	37.3	24.1	
477	9/28/2016	6:09:57 AM	38.6	23.8	
478	9/28/2016	7:09:57 AM	39.0	24.4	
479	9/28/2016	8:09:57 AM	37.7	25.7	
480	9/28/2016	9:09:57 AM	38.3	27.3	
481	9/28/2016	10:09:57 AM	32.5	29.7	
482	9/28/2016	11:09:57 AM	30.5	31.2	
483	9/28/2016	12:09:57 PM	33.2	31.8	
484	9/28/2016	1:09:57 PM	29.9	32.5	
485	9/28/2016	2:09:57 PM	28.4	33.6	
486	9/28/2016	3:09:57 PM	27.0	33.8	
487	9/28/2016	4:09:57 PM	27.2	34.2	
488	9/28/2016	5:09:57 PM	28.5	33.6	
489	9/28/2016	6:09:57 PM	29.8	32.5	
490	9/28/2016	7:09:57 PM	33.4	31.6	
491	9/28/2016	8:09:57 PM	34.5	30.7	
492	9/28/2016	9:09:57 PM	47.8	28.7	
493	9/28/2016	10:09:57 PM	55.2	26.7	
494	9/28/2016	11:09:57 PM	56.8	25.6	
495	9/29/2016	12:09:57 AM	61.1	23.6	
496	9/29/2016	1:09:57 AM	60.8	22.7	
497	9/29/2016	2:09:57 AM	61.2	22.2	
498	9/29/2016	3:09:57 AM	60.7	21.9	
499	9/29/2016	4:09:57 AM	62.2	21.3	
500	9/29/2016	5:09:57 AM	62.9	20.9	
501	9/29/2016	6:09:57 AM	63.4	20.7	
502	9/29/2016	7:09:57 AM	62.9	20.8	
503	9/29/2016	8:09:57 AM	62.8	21.0	
504	9/29/2016	9:09:57 AM	63.0	21.1	
505	9/29/2016	10:09:57 AM	63.0	21.3	
506	9/29/2016	11:09:57 AM	62.9	21.6	
507	9/29/2016	12:09:57 PM	62.2	21.8	
508	9/29/2016	1:09:57 PM	60.9	22.3	
509	9/29/2016	2:09:57 PM	59.8	22.8	
510	9/29/2016	3:09:57 PM	59.2	23.1	
511	9/29/2016	4:09:57 PM	57.1	23.9	
