Index,Date,Time,RH,Temp,Number
257,9/18/2016,2:12:00 AM,40.7,26,1010060497
258,9/18/2016,3:12:00 AM,40.3,25.7,1010060497
259,9/18/2016,4:12:00 AM,40.3,25.3,1010060497
260,9/18/2016,5:12:00 AM,41.2,25.1,1010060497
261,9/18/2016,6:12:00 AM,41.7,24.8,1010060497
262,9/18/2016,7:12:00 AM,41.1,24.6,1010060497
263,9/18/2016,8:12:00 AM,42.2,24.2,1010060497
264,9/18/2016,9:12:00 AM,44,23.8,1010060497
265,9/18/2016,10:12:00 AM,44.6,23.6,1010060497
266,9/18/2016,11:12:00 AM,44.2,23.4,1010060497
267,9/18/2016,12:12:00 PM,45.6,23.1,1010060497
268,9/18/2016,1:12:00 PM,46.8,22.8,1010060497
269,9/18/2016,2:12:00 PM,46.4,22.7,1010060497
270,9/18/2016,3:12:00 PM,47,22.6,1010060497
271,9/18/2016,4:12:00 PM,48.7,22.4,1010060497
272,9/18/2016,5:12:00 PM,49.9,22.2,1010060497
273,9/18/2016,6:12:00 PM,50.5,22.1,1010060497
274,9/18/2016,7:12:00 PM,50.9,21.9,1010060497
275,9/18/2016,8:12:00 PM,51.1,21.7,1010060497
276,9/18/2016,9:12:00 PM,50.6,21.4,1010060497
277,9/18/2016,10:12:00 PM,50.2,21.3,1010060497
278,9/18/2016,11:12:00 PM,51.1,21.1,1010060497
279,9/19/2016,12:12:00 AM,52,21,1010060497
280,9/19/2016,1:12:00 AM,52.3,20.8,1010060497
281,9/19/2016,2:12:00 AM,52.8,20.7,1010060497
282,9/19/2016,3:12:00 AM,53.3,20.6,1010060497
283,9/19/2016,4:12:00 AM,53,20.4,1010060497
284,9/19/2016,5:12:00 AM,53.3,20.3,1010060497
285,9/19/2016,6:12:00 AM,54.7,20.2,1010060497
286,9/19/2016,7:12:00 AM,57.8,19.9,1010060497
287,9/19/2016,8:12:00 AM,59,19.8,1010060497
288,9/19/2016,9:12:00 AM,58.5,20,1010060497
289,9/19/2016,10:12:00 AM,56.5,20.2,1010060497
290,9/19/2016,11:12:00 AM,56.8,20.2,1010060497
291,9/19/2016,12:12:00 PM,57.2,20.3,1010060497
292,9/19/2016,1:12:00 PM,57.6,20.3,1010060497
293,9/19/2016,2:12:00 PM,57.4,20.4,1010060497
294,9/19/2016,3:12:00 PM,56.6,20.7,1010060497
295,9/19/2016,4:12:00 PM,55.6,20.8,1010060497
296,9/19/2016,5:12:00 PM,55.1,20.8,1010060497
297,9/19/2016,6:12:00 PM,55.4,20.8,1010060497
298,9/19/2016,7:12:00 PM,56.1,20.7,1010060497
299,9/19/2016,8:12:00 PM,56.7,20.7,1010060497
300,9/19/2016,9:12:00 PM,56.2,20.7,1010060497
301,9/19/2016,10:12:00 PM,56.3,20.6,1010060497
302,9/19/2016,11:12:00 PM,56.6,20.6,1010060497
303,9/20/2016,12:12:00 AM,56.9,20.5,1010060497
304,9/20/2016,1:12:00 AM,56.8,20.5,1010060497
305,9/20/2016,2:12:00 AM,56.7,20.4,1010060497
306,9/20/2016,3:12:00 AM,57.1,20.2,1010060497
307,9/20/2016,4:12:00 AM,57.3,20.2,1010060497
308,9/20/2016,5:12:00 AM,57.6,20.1,1010060497
309,9/20/2016,6:12:00 AM,57.5,20.1,1010060497
310,9/20/2016,7:12:00 AM,60.5,20.1,1010060497
311,9/20/2016,8:12:00 AM,61,20.3,1010060497
312,9/20/2016,9:12:00 AM,60.2,20.9,1010060497
313,9/20/2016,10:12:00 AM,57.9,21.7,1010060497
314,9/20/2016,11:12:00 AM,53.6,22.6,1010060497
315,9/20/2016,12:12:00 PM,50,23.3,1010060497
316,9/20/2016,1:12:00 PM,48.3,24.1,1010060497
317,9/20/2016,2:12:00 PM,46.3,24.7,1010060497
318,9/20/2016,3:12:00 PM,45.3,25.1,1010060497
319,9/20/2016,4:12:00 PM,44.3,25.3,1010060497
320,9/20/2016,5:12:00 PM,43.3,25.1,1010060497
321,9/20/2016,6:12:00 PM,43.6,24.8,1010060497
322,9/20/2016,7:12:00 PM,45.1,24.4,1010060497
323,9/20/2016,8:12:00 PM,46,24.1,1010060497
324,9/20/2016,9:12:00 PM,46.6,23.8,1010060497
325,9/20/2016,10:12:00 PM,47,23.6,1010060497
326,9/20/2016,11:12:00 PM,47.6,23.3,1010060497
327,9/21/2016,12:12:00 AM,48.1,23.1,1010060497
328,9/21/2016,1:12:00 AM,48.6,22.9,1010060497
329,9/21/2016,2:12:00 AM,48.6,22.7,1010060497
330,9/21/2016,3:12:00 AM,48.6,22.4,1010060497
331,9/21/2016,4:12:00 AM,49.5,22.2,1010060497
332,9/21/2016,5:12:00 AM,50,22,1010060497
333,9/21/2016,6:12:00 AM,52.2,21.8,1010060497
334,9/21/2016,7:12:00 AM,52.8,21.7,1010060497
335,9/21/2016,8:12:00 AM,52.5,22.1,1010060497
336,9/21/2016,9:12:00 AM,51.5,22.8,1010060497
337,9/21/2016,10:12:00 AM,49.5,23.7,1010060497
338,9/21/2016,11:12:00 AM,47.3,24.6,1010060497
